Country Name,n_obs,year_start,year_end,m2_growth,inflation,gdp_growth
China,30,1991,2020,0.16618401484432443,0.03843530078348028,0.08874303000719089
Colombia,30,1991,2020,0.15364150119285694,0.09109012677125447,0.030219283323135216
Comoros,20,2001,2020,0.10228384545882356,0.02730208067050488,0.028490753755682975
"Congo, Dem. Rep.",22,1991,2016,1.2831956265210716,1.0012554875252542,0.018517451352514994
"Congo, Rep.",29,1991,2020,0.08425329452637931,0.041730568594970194,0.0197890843935114
Costa Rica,30,1991,2020,0.14978266597625828,0.09064606822812457,0.039495765186402326
Cote d'Ivoire,30,1991,2020,0.09120511824789616,0.034122019966219566,0.03200854040844317
Czechia,27,1994,2020,0.07480481250955717,0.03490562318074247,0.02380151520321287
Denmark,30,1991,2020,0.03934379292306562,0.017215759881936687,0.015960234234138445
Djibouti,7,2014,2020,0.10329893128458119,0.01275006860046522,0.0535020015106577
Dominica,30,1991,2020,0.05433689614480279,0.01634185396888945,0.008230090466172275
Dominican Republic,30,1991,2020,0.15628872554938436,0.08176751954540341,0.047081641860322536
Ecuador,30,1991,2020,0.10436230218310574,0.15118332405367993,0.027603491728498734
"Egypt, Arab Rep.",30,1991,2020,0.13627592205726155,0.09206698303687061,0.042505473549156035
El Salvador,30,1991,2020,0.08413540058264755,0.04122589890105972,0.02091235615138854
Equatorial Guinea,30,1991,2020,0.17794840676561552,0.049249923085435,0.13362804758561234
Eswatini,29,1991,2019,0.11550155727517204,0.07236525808492797,0.03169574503660387
Ethiopia,18,1991,2008,0.13741393662740561,0.08082578968480189,0.04985359289901857
Fiji,30,1991,2020,0.07299659316590687,0.03160780527345115,0.016402650487765888
Gabon,29,1991,2019,0.07404241139697156,0.021874645457974694,0.021789636545374202
"Gambia, The",28,1991,2020,0.1629139536172119,0.05565369765777365,0.029586061870890364
Georgia,25,1996,2020,0.20335616184868158,0.06363543126103094,0.05143217057366769
Ghana,30,1991,2020,0.2799959963639714,0.16972559440212137,0.05206643843049908
Grenada,30,1991,2020,0.06641928856044525,0.019915239530916975,0.02172763527957926
